EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS ALUMINUM                                                           
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 13, 27);   avgA =  27.000; amuM= 26.978; avgM= 25.130
 targ= ordina; ttarg(rl)=0.01315; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   5.050  0.210  9.02    1.81    8.75    1.24    0.00    9.99 8.205E+02

  10.540 12.260  2.28    1.53    8.65    1.00    0.01    9.66  0.817
   4.749  0.210  9.46    1.98   10.06    1.33    0.01   11.39 6.317E+02

  10.540 13.037  2.41    1.71    9.76    1.10    0.01   10.86  0.813
   4.432  0.210  9.93    2.22   11.52    1.47    0.01   13.00 4.814E+02

  10.540 13.930  2.54    1.96   11.02    1.25    0.01   12.28  0.807
   4.097  0.210 10.43    2.54   13.20    1.67    0.01   14.88 3.626E+02

  10.540 14.971  2.68    2.30   12.49    1.47    0.01   13.97  0.802
   3.744  0.210 10.95    3.00   15.16    1.97    0.01   17.14 2.696E+02

  10.540 16.210  2.83    2.80   14.25    1.80    0.01   16.06  0.795
   3.372  0.210 11.51    3.66   17.51    2.41    0.01   19.93 1.972E+02

  10.540 17.722  2.98    3.54   16.46    2.32    0.01   18.79  0.785
   2.979  0.210 12.09    4.67   20.48    3.10    0.01   23.59 1.414E+02

  10.540 19.633  3.14    4.70   19.39    3.18    0.02   22.59  0.771
   2.565  0.210 12.70    6.28   24.41    4.25    0.02   28.67 9.882E+01

